,Entity Name,Entity Type,has_co,has_digit_num,has_city_list2,comma,other_punc,word_count,encoded_langs
218,Durrat Khaleej Al-Bahrain Business Development,Company,1,0,1,False,True,6,12
219,Global Payment Services,Company,1,0,0,False,False,3,12
220,IFAD Group,Company,1,0,0,False,False,2,12
221,M/s Sunipun Pharmaceuticals Ltd,Company,1,0,0,False,True,4,12
222,Smart Export Garments,Company,0,0,0,False,False,3,12
223,Brenntag Bangladesh Services Ltd.,Company,1,0,1,False,True,4,12
224,Bangladesh Road Transport,Company,0,0,1,False,False,3,12
225,M/s. Dolphin Pharmaceuticals Ltd,Company,1,0,0,False,True,4,12
226,Mediastar,Company,0,0,0,False,False,1,12
227,Medlar Apparels,Company,0,0,0,False,False,2,12
228,Sylhet Gas Fields,Company,0,0,1,False,False,3,12
229,Niko Resources (Bangladesh),Company,1,0,1,False,True,3,12
230,M/S Asad Enterprise,Company,0,0,0,False,True,3,12
231,Sylhet Infectious Disease Hospital,Company,1,0,1,False,False,4,12
232,Bangladesh Municipal Development Fund,Company,1,0,1,False,False,4,12
233,Ekushey Television,Company,0,0,0,False,False,2,12
234,One Bank,Company,0,0,0,False,False,2,12
235,Public Bank Securities limited,Company,1,0,0,False,False,4,12
236,Chittagong Development Authority,Company,1,0,0,False,False,3,12
237,Alliance Securities & Management Limited,Company,1,0,0,False,True,5,12
238,"District Government Public Library, Noakhali",Company,0,0,0,True,False,5,12
239,Udbhabani Shamaj Kalyan Shangstha (USKS),Company,1,0,1,False,True,5,12
240,Santep,Company,0,0,0,False,False,1,12
241,Teplopribor,Company,0,0,0,False,False,1,12
242,"Beltekhosmotr, Republican Unitary Service Enterprise",Company,1,0,0,True,False,5,12
243,OOO AvivStil,Company,0,0,0,False,False,2,12
244,Mashpishcheprod,Company,0,0,0,False,False,1,12
245,Grodnooblsoyuzpechat Trade,Company,0,0,0,False,False,2,12
246,"Institute for retraining and qualification upgrading of judges, prosecutors and legal professionals at the Belarusian State University",Company,0,0,1,True,False,17,12
247,Promzhilstroy,Company,0,0,0,False,False,1,12
248,Republican unitary enterprise Information and Computing Center of the Ministry of Finance of the Republic of Belarus,Company,0,0,1,False,False,17,12
249,Belarusian Nuclear Power Plant,Company,0,0,1,False,False,4,12
250,Belagroprombank,Company,0,0,0,False,False,1,12
251,Belarusian Military Academy,Company,0,0,1,False,False,3,12
252,Gazpromneft-Belnefteprodukt Foreign Company,Company,1,0,0,False,True,4,12
253,Akademicheskoe Real Estate Agency,Company,0,0,0,False,False,4,12
254,Polesegiprovodkhoz,Company,0,0,0,False,False,1,12
255,Neman Grodno Footwear,Company,0,0,0,False,False,3,12
256,Malorita PMK-20 Construction,Company,0,1,0,False,True,4,12
257,Brestlift,Company,0,0,1,False,False,1,12
258,Svetlogorsk Art Factory,Company,0,0,0,False,False,3,12
259,Brest Beekeeping Farm,Company,0,0,1,False,False,3,12
260,Les Compagnons de la Terre,Company,0,0,0,False,False,5,12
261,Bekinox,Company,0,0,0,False,False,1,12
262,Belfius Région Charleroi Airport SCRL,Company,1,0,0,False,False,5,12
263,Bonit Invest,Company,0,0,0,False,False,2,12
264,ABN AMRO Life Capital Belgium N.V.,Company,1,0,1,False,True,7,12
265,Nizet Entreprise SA,Company,1,0,0,False,False,3,12
266,Société d'Investissement Agricole de Wallonie SA,Company,1,0,0,False,True,6,12
267,The Rezidor Hotel Group,Company,1,0,0,False,False,4,12
268,Green-Tech Wind BVBA/SPRL,Company,0,0,0,False,True,4,12
269,Vieux Waleffe - Laminoirs de Longtain,Company,0,0,0,False,True,6,12
270,Antwerp East,Company,0,0,1,False,False,2,12
271,Siam Rojana,Company,0,0,0,False,False,2,12
272,Bocimar International,Company,0,0,0,False,False,2,12
273,BELS FLOWERS IMPORT EXPORT BVBA,Company,1,0,0,False,False,5,12
274,Hendriks Horeca,Company,0,0,0,False,False,2,12
275,Belsquare Residence N.V.,Company,1,0,0,False,True,4,12
276,Hospital Center Regional Du Val De Sambre,Company,1,0,0,False,False,7,12
277,Aspiravi,Company,0,0,0,False,False,1,12
278,Complexe pénitentiaire de Bruges,Company,0,0,0,False,False,4,12
279,Ethias Patrimoine,Company,0,0,0,False,False,2,12
280,InstaMarkets Ltd.,Company,1,0,0,False,True,2,12
281,Forbal Investment,Company,1,0,0,False,False,2,12
282,"Belizean Financial Investments, Inc.",Company,1,0,1,True,True,4,12
283,Online3fs Corp.,Company,1,1,0,False,True,2,12
284,Diana Rosemary,Company,0,0,0,False,False,2,12
285,Rhodium by Solomon Holdings Ltd.,Company,1,0,0,False,True,5,12
286,GANN MARKETS CORP.,Company,1,0,0,False,True,3,12
287,Hlobal Heims LTD,Company,1,0,0,False,False,3,12
288,Titan International Securities Inc.,Company,1,0,0,False,True,4,12
289,OLIVE ORGANIK MARKETS GLOBAL FINANCIAL LTD.,Company,1,0,0,False,True,6,12
290,TCM Investments Ltd.,Company,1,0,0,False,True,3,12
291,Olymp Financial Markets Ltd,Company,1,0,0,False,False,4,12
292,Arcadex Corporation,Company,1,0,0,False,False,2,12
293,KREMSONT COMMERCIAL INC.,Company,1,0,0,False,True,3,12
294,Kingsbourne Limited,Company,1,0,0,False,False,2,12
295,RTC finance (clone),Company,1,0,0,False,True,3,12
296,Mandeville Inc.,Company,1,0,0,False,True,2,12
297,Avalon Consultants Ltd,Company,1,0,0,False,False,3,12
298,Elan Holding Corp.,Company,1,0,0,False,True,3,12
299,Oracle Stone Ltd (Grandtrade),Company,1,0,0,False,True,4,12
300,Compagnie Béninoise des Hydrocarbures,Company,0,0,0,False,False,4,12
301,Société Nouvelle Africaine des Industries des Fruits et Légumes,Company,0,0,0,False,False,9,12
302,Faculté des Sciences Économiques et de Gestion,Company,0,0,0,False,False,7,12
303,Groupe Dec S.a.,Company,1,0,0,False,True,4,12
304,Université d’Abomey-Calavi,Company,0,0,0,False,True,3,12
305,École des Sciences et Techniques du Bâtiment et de la Route,Company,0,0,0,False,False,11,12
306,Société Nationale de Commercialisation des Produits Pétroliers SA,Company,1,0,0,False,False,8,12
307,École de Gestion et de Production Végétale et Semencière,Company,0,0,0,False,False,9,12
308,École Nationale d'Administration et de Magistrature,Company,0,0,0,False,True,6,12
309,Office de Radiodiffusion et Télévision du Bénin,Company,0,0,0,False,False,7,12
310,Investment Consultancy & Computering Services,Company,1,0,0,False,True,5,12
311,Institut Universitaire de Technologie,Company,0,0,0,False,False,4,12
312,Libercom,Company,0,0,0,False,False,1,12
313,Ellissa Shipping,Company,0,0,0,False,False,2,12
314,Institut Universitaire de Technologie de Lokossa,Company,0,0,0,False,False,6,12
315,Cimbenin,Company,0,0,0,False,False,1,12
316,Ellissa Megastore,Company,0,0,0,False,False,2,12
317,Société de Gestion des Marchés Autonomes,Company,0,0,0,False,False,6,12
318,Universal Finance Bank,Company,0,0,0,False,False,3,12
319,Université de Parakou,Company,0,0,0,False,False,3,12
320,Antares Holding Limited,Company,1,0,0,False,False,3,12
321,The Bank of N.T. Butterfield & Son,Company,0,0,0,False,True,8,12
322,IBJ Air Leasing Limited,Company,1,0,0,False,False,4,12
323,Excel Maritime Carriers,Company,0,0,0,False,False,3,12
324,SEACO Ship Management Services Ltd.,Company,1,0,0,False,True,5,12
325,Shell Overseas Holdings (Oman) Limited,Company,1,0,1,False,True,5,12
326,CatCo Investment Management,Company,1,0,0,False,False,3,12
327,Vida Green Ltd.,Company,1,0,0,False,True,3,12
328,FDG Kinetic,Company,0,0,0,False,False,2,12
329,Solen Life Insurance Limited,Company,1,0,0,False,False,4,12
330,Sompo International Holdings Ltd.,Company,1,0,0,False,True,4,12
331,Macquarie SBI Infrastructure Trustee,Company,0,0,0,False,False,4,12
332,Bermuda Land Development Company,Company,1,0,1,False,False,4,12
333,GTLK AFL,Company,0,0,0,False,False,2,12
334,Assured Guaranty,Company,0,0,0,False,False,2,12
335,Bermuda Deposit Insurance,Company,0,0,1,False,False,3,12
336,Shell Caribbean & Central America Ltd,Company,1,0,0,False,True,6,12
337,Argo Group International Holdings Ltd.,Company,1,0,0,False,True,5,12
338,Bermuda Airport Authority,Company,0,0,1,False,False,3,12
339,Bermuda Archives,Company,0,0,1,False,False,2,12
340,Almacén Juan del Sur,Company,0,0,0,False,False,4,12
341,TI Sparkle Bolivia S.r.l.,Company,1,0,1,False,True,6,12
342,Operaciones del Pacífico,Company,0,0,0,False,False,3,12
343,Compañía Eléctrica Central Bulo Bulo,Company,0,0,0,False,False,5,12
344,ICOR INGENIERIA EN CONSTRUCCIONÉS ORLEANS (ICOR),Company,1,0,0,False,True,6,12
345,YPFB Petroandina S.A.M.,Company,0,0,0,False,True,5,12
346,Comercializadora Multimedia Del Sur,Company,0,0,0,False,False,4,12
347,ENTEL,Company,0,0,0,False,False,1,12
348,Minera Corocobre S.A.,Company,1,0,0,False,True,4,12
349,Constructora Arteaga S.R.L,Company,1,0,0,False,True,5,12
350,Construcciones Y Servicios Merubia,Company,0,0,1,False,False,4,12
351,Servicio Autónomo Municipal de Agua Potable y Alcantarillado Residual,Company,0,0,0,False,False,9,12
352,BANCO PRODEM S.A.,Company,1,0,0,False,True,4,12
353,ENDE Tecnologías S.A.,Company,1,0,0,False,True,4,12
354,Empresa de Servicios Edeser S.A.,Company,1,0,0,False,True,6,12
355,66 Deseo,Company,0,1,0,False,False,2,12
356,"Empresa Municipal De Areas Verdes Sucre, Parques y Forestación",Company,0,0,1,True,False,9,12
357,"Empresa Municipal de Áreas Verdes, Parques y Forestación",Company,0,0,0,True,False,8,12
358,LaMia Corporation,Company,1,0,0,False,False,2,12
359,Empresa Metalúrgica Vinto,Company,0,0,0,False,False,3,12
360,NPC INTERNATIONAL d.o.o. Banja Luka,Company,0,0,0,False,True,7,12
361,Komercijalna banka a.d. Banja Luka,Company,0,0,0,False,True,6,12
362,Energoinvest-Comet d.d. Sarajevo,Company,0,0,1,False,True,5,12
363,Union banka d.d. Sarajevo,Company,0,0,1,False,True,5,12
364,Axpo BH,Company,0,0,0,False,False,2,12
365,Javna Ustanova Vode Srpske Bijeljina,Company,0,0,0,False,False,5,12
366,AD-BHCOMMERC d.o.o. Kakanj,Company,0,0,0,False,True,6,12
367,"J.U. ""DOM UČENIKA BIJELJINA"" Bijeljina",Company,0,0,0,False,True,6,12
368,LS Commerce d.o.o.,Company,1,0,0,False,True,5,12
369,Triglav Osiguranje a.d.,Company,1,0,0,False,True,4,12
370,S.P. Lasta,Company,0,0,0,False,True,3,12
371,Famos,Company,0,0,0,False,False,1,12
372,Zavisno društvo Rudnik mrkog uglja Kakanj d.o.o.,Company,1,0,0,False,True,9,12
373,Javno preduzeće Međunarodni aerodrom SARAJEVO društvo sa ograničenom odgovornošću,Company,0,0,0,False,False,9,12
374,Mješoviti Holding Elektroprivreda Republike Srpske - Matično preduzeće,Company,0,0,0,False,True,8,12
375,Nova tvornica prečistača a.d. Rogatica,Company,0,0,0,False,True,6,12
376,XXX d.o.o. Pale,Company,0,0,0,False,True,5,12
377,Agrokomerc,Company,0,0,0,False,False,1,12
378,Dalmatica,Company,0,0,0,False,False,1,12
379,CENEX d.o.o Istočno Sarajevo,Company,0,0,1,False,True,6,12
380,Kwena Concrete Products (Pty) Ltd (KPC),Company,1,0,0,False,True,6,12
381,Botswana Innovation Hub,Company,0,0,1,False,False,3,12
382,Good Hope Primary Hospital,Company,1,0,0,False,False,4,12
383,Debt Participation Capital Funding,Company,1,0,0,False,False,4,12
384,TransUnion,Company,0,0,0,False,False,1,12
385,ESBI Eng & FM (Botswana) (Proprietary) Ltd,Company,1,0,1,False,True,7,12
386,Engen Botswana Ltd.,Company,1,0,1,False,True,3,12
387,Tlhare Segolo Foundation,Company,0,0,0,False,False,3,12
388,Local Enterprise Authority,Company,0,0,0,False,False,3,12
389,Orange Botswana (PTY) Ltd.,Company,1,0,1,False,True,4,12
390,Gaborone Container Terminal (PTY) LTD,Company,1,0,1,False,True,5,12
391,Nyangabgwe Referral Hospital,Company,1,0,0,False,False,3,12
392,Aon Botswana,Company,0,0,1,False,False,2,12
393,Botswana Vaccine Institute Limited,Company,1,0,1,False,False,4,12
394,Diamond Trading Company Botswana (DTCB),Company,1,0,1,False,True,5,12
395,Cabling For Africa,Company,0,0,0,False,False,3,12
396,Letshego Holdings Limited,Company,1,0,0,False,False,3,12
397,Deborah Retief Memorial Hospital (DRM),Company,1,0,0,False,True,5,12
398,Fengyue Glass Manufacturing (Botswana),Company,1,0,1,False,True,4,12
399,Public Procurement and Asset Disposal Board (PPADB),Company,1,0,0,False,True,7,12
400,Executar Energia e Serviços Ltda,Company,1,0,0,False,False,5,12
401,Alvorada Participações Ltda,Company,1,0,0,False,False,3,12
402,Assoc de Garantia ao Atleta Profissional do RGS,Company,0,0,0,False,False,8,12
403,FJ Comércio de Materiais Elétricos Eireli,Company,0,0,0,False,False,6,12
